55550,Chordeiles,minor,minor,Common Nighthawk,United States,"Stephan Bridge Road, Crawford Co., Michigan",call,A,0:16,unknown
575205,Antrostomus,carolinensis,,Chuck-will's-widow,United States,"Sharonville State Game Area, Norvell Township, Jackson, Michigan","adult, sex uncertain, song",no score,0:06,yes
179225,Antrostomus,carolinensis,,Chuck-will's-widow,United States,"Sharonville State Game Area, Norvell Township, Jackson County, Michigan",song,B,0:34,no
143521,Antrostomus,carolinensis,,Chuck-will's-widow,United States,"Sharonville State Game Area, Norvell Township, Jackson, Michigan",song,B,0:32,no
483358,Antrostomus,vociferus,,Eastern Whip-poor-will,United States,"Norvell Township, Jackson County, Michigan",song,B,0:24,yes
467315,Antrostomus,vociferus,,Eastern Whip-poor-will,United States,"Lyon Township (near  Roscommon), Roscommon County, Michigan",song,B,1:38,no
387834,Antrostomus,vociferus,,Eastern Whip-poor-will,United States,"Tawas Point, Michigan",song,B,0:26,no
392955,Chaetura,pelagica,,Chimney Swift,United States,"Indian Springs Metropark, Oakland County, Michigan",call,B,0:03,yes
409021,Megaceryle,alcyon,,Belted Kingfisher,United States,"Watkins Lake State Park, Jackson County, Michigan",call,A,0:18,yes
409022,Megaceryle,alcyon,,Belted Kingfisher,United States,"Watkins Lake State Park, Jackson County, Michigan",call,B,0:29,yes
11847,Megaceryle,alcyon,,Belted Kingfisher,United States,"Michigan, Oakwoods Metropark",Flight call,B,0:13,unknown
450849,Melanerpes,formicivorus,,Acorn Woodpecker,United States,"Michigan Bar Road, Sacramento County, California",call,A,0:29,yes
16875,Melanerpes,carolinus,,Red-bellied Woodpecker,United States,"Michigan, Oakwoods Metropark",Calls from male,A,0:23,unknown
409006,Melanerpes,carolinus,,Red-bellied Woodpecker,United States,"Cobb Lake area, Norvell Township, Jackson County, Michigan",call,B,0:29,yes
409005,Melanerpes,carolinus,,Red-bellied Woodpecker,United States,"Cobb Lake area, Norvell Township, Jackson County, Michigan","call, male",B,0:12,yes
107465,Melanerpes,carolinus,,Red-bellied Woodpecker,United States,"Flat Iron Lake Preserve, Oakfield, Kent County, Michigan",call,B,0:18,unknown
16877,Melanerpes,carolinus,,Red-bellied Woodpecker,United States,"Michigan, Belle Isle",Call,B,0:10,unknown
16876,Melanerpes,carolinus,,Red-bellied Woodpecker,United States,"Michigan, Oakwoods Metropark",drumming,B,0:21,unknown
418338,Sphyrapicus,varius,,Yellow-bellied Sapsucker,United States,"Au Sable SF - Big Creek Rd, Michigan",call,A,0:27,yes
418337,Sphyrapicus,varius,,Yellow-bellied Sapsucker,United States,"Au Sable SF - Big Creek Rd, Michigan",drumming,A,0:05,yes
418335,Sphyrapicus,varius,,Yellow-bellied Sapsucker,United States,"Au Sable SF - Big Creek Rd, Michigan",drumming,A,0:25,yes
31302,Sphyrapicus,varius,,Yellow-bellied Sapsucker,United States,"Michigan, Wagner Lake ",Call,B,0:30,unknown
455560,Dryobates,pubescens,,Downy Woodpecker,United States,"Cranberry Lake Park, Oakland County, Michigan",call,A,0:01,no
385836,Dryobates,pubescens,,Downy Woodpecker,United States,"Stony Creek Metropark, Macomb County, Michigan",call,A,0:04,yes
409012,Dryobates,pubescens,medianus,Downy Woodpecker,United States,"Cobb Lake area, Norvell Township, Jackson County, Michigan",call,B,0:12,yes
390588,Dryobates,pubescens,,Downy Woodpecker,United States,"Cranberry Lake Park, Oakland County, Michigan",call,B,0:03,no
388701,Dryobates,pubescens,,Downy Woodpecker,United States,"Hawk Woods Nature Center, Oakland County, Michigan",drumming,B,0:23,no
16883,Dryobates,pubescens,,Downy Woodpecker,United States,"Michigan, Metro Beach Metropark",drumming,B,0:07,unknown
16881,Dryobates,pubescens,,Downy Woodpecker,United States,"Michigan, Metro Beach Metropark",Call,B,0:17,unknown
16880,Dryobates,pubescens,,Downy Woodpecker,United States,"Michigan, Metro Beach Metropark",Call,B,0:22,unknown
422122,Leuconotopicus,villosus,,Hairy Woodpecker,United States,"Drayton Plains Nature Center, Oakland County, Michigan","Rattle, call",A,0:01,yes
409017,Leuconotopicus,villosus,villosus,Hairy Woodpecker,United States,"Cobb Lake area, Norvell Township, Jackson County, Michigan",call,A,1:01,yes
387852,Leuconotopicus,villosus,,Hairy Woodpecker,United States,"Cranberry Lake Park, Oakland County, Michigan",alarm call,A,1:12,yes
313523,Leuconotopicus,villosus,,Hairy Woodpecker,United States,"Cranberry Lake Park, Oakland County, Michigan","call, drumming",A,0:07,yes
313522,Leuconotopicus,villosus,,Hairy Woodpecker,United States,"Cranberry Lake Park, Oakland County, Michigan",drumming,A,0:23,yes
409016,Leuconotopicus,villosus,villosus,Hairy Woodpecker,United States,"Cobb Lake area, Norvell Township, Jackson County, Michigan",call,B,0:52,yes
409015,Leuconotopicus,villosus,villosus,Hairy Woodpecker,United States,"Cobb Lake area, Norvell Township, Jackson County, Michigan",call,B,0:12,yes
390939,Leuconotopicus,villosus,,Hairy Woodpecker,United States,"Cranberry Lake Park, Oakland County, Michigan",call,B,0:14,yes
328416,Leuconotopicus,villosus,,Hairy Woodpecker,United States,"Charles Ilsley Park, Oakland County, Michigan",call,B,0:29,yes
328415,Leuconotopicus,villosus,,Hairy Woodpecker,United States,"Charles Ilsley Park, Oakland County, Michigan",call,B,0:54,yes
313676,Colaptes,auratus,,Northern Flicker,United States,"Marsh View, Oakland County, Michigan","call, drumming",A,0:38,yes
313675,Colaptes,auratus,,Northern Flicker,United States,"Marsh View, Oakland County, Michigan","drumming, song",A,0:20,yes
309651,Colaptes,auratus,,Northern Flicker,United States,"Stony Creek Metropark, Macomb County, Michigan",song,A,0:23,yes
389969,Colaptes,auratus,,Northern Flicker,United States,"Bear Creek, Oakland County, Michigan","call, drumming",B,0:12,no
282514,Colaptes,auratus,,Northern Flicker,United States,"Stony Creek Metropark, Macomb County, Michigan","call, song",B,0:03,no
31178,Colaptes,auratus,,Northern Flicker,United States,"Michigan, St. Clair County ",Juveniles begging in nest,B,0:08,unknown
31177,Colaptes,auratus,,Northern Flicker,United States,"Michigan, St. Clair County ",Juveniles begging in nest,B,0:18,unknown
493604,Dryocopus,pileatus,,Pileated Woodpecker,United States,"Lowell SGA, Kent County, Michigan",drumming,B,0:23,yes
388696,Sayornis,phoebe,,Eastern Phoebe,United States,"Tahquamenon Cabins, Chippewa County, Michigan",song,A,0:53,no
308402,Sayornis,phoebe,,Eastern Phoebe,United States,"Stony Creek Metropark, Macomb County, Michigan",song,A,0:30,yes
31294,Sayornis,phoebe,,Eastern Phoebe,United States,"Michigan, Macomb County ",Song,B,0:16,unknown
466920,Contopus,cooperi,,Olive-sided Flycatcher,United States,"Forest Road 3344, Hiawatha National Forest (near  Eckerman), Chippewa, Michigan",call,B,0:06,yes
466919,Contopus,cooperi,,Olive-sided Flycatcher,United States,"Forest Road 3344, Hiawatha National Forest (near  Eckerman), Chippewa, Michigan",call,B,0:37,yes
494244,Contopus,virens,,Eastern Wood Pewee,United States,"Lowell SGA, Kent County, Michigan",song,A,1:07,yes
17133,Contopus,virens,,Eastern Wood Pewee,United States,"Michigan, Vestaburg",Call,B,0:20,unknown
466985,Empidonax,flaviventris,,Yellow-bellied Flycatcher,United States,"Trout Lake Township (near  Eckerman), Chippewa County, Michigan",song,B,0:21,yes
493597,Empidonax,virescens,,Acadian Flycatcher,United States,"Lowell SGA, Kent County, Michigan","foraging drumming from Pileated Woodpecker, song",B,0:18,no
107448,Empidonax,virescens,,Acadian Flycatcher,United States,"Flat Iron Lake Preserve, Oakfield, Kent County, Michigan",Song,B,0:42,unknown
31225,Empidonax,virescens,,Acadian Flycatcher,United States,"Michigan, Sharon Hollow ",Call,B,0:33,unknown
31224,Empidonax,virescens,,Acadian Flycatcher,United States,"Michigan, Sharon Hollow ",Song,B,0:55,unknown
392871,Empidonax,traillii,,Willow Flycatcher,United States,"Indian Springs Metropark, Oakland County, Michigan",song,B,0:13,no
392870,Empidonax,traillii,,Willow Flycatcher,United States,"Indian Springs Metropark, Oakland County, Michigan",song,B,0:29,no
107464,Empidonax,traillii,,Willow Flycatcher,United States,"Calvin College Ecosystem Preserve, Grand Rapids, Kent County, Michigan",call,B,0:03,unknown
31223,Empidonax,traillii,,Willow Flycatcher,United States,"Michigan, Nyangquing Point Wildlife Area ",Call,B,0:16,unknown
31222,Empidonax,traillii,,Willow Flycatcher,United States,"Michigan, Macomb County ",Song,B,0:03,unknown
31217,Empidonax,traillii,,Willow Flycatcher,United States,"Michigan, Macomb County ",Call,B,0:03,unknown
31213,Empidonax,traillii,,Willow Flycatcher,United States,"Michigan, Washtenaw County ",Song,B,0:46,unknown
318899,Empidonax,alnorum,,Alder Flycatcher,United States,"Draper Twin Lake Park, Oakland County, Michigan",song,B,0:14,no
31060,Empidonax,alnorum,,Alder Flycatcher,United States,"Michigan, Port Huron SGA ",Song,B,0:54,unknown
16967,Empidonax,alnorum,,Alder Flycatcher,United States,"Michigan, Port Huron SGA",Song,B,0:23,unknown
31211,Empidonax,minimus,,Least Flycatcher,United States,"Michigan, Mack Lake ",Song,A,0:34,unknown
142590,Empidonax,minimus,,Least Flycatcher,United States,"Summit Peak Scenic Area, Porcupine Mountains SP, Ontonagon, Michigan",song,B,0:59,no
392867,Tyrannus,tyrannus,,Eastern Kingbird,United States,"Indian Springs Metropark, Oakland County, Michigan",call,B,0:21,yes
390591,Tyrannus,tyrannus,,Eastern Kingbird,United States,"Cranberry Lake Park, Oakland County, Michigan",call,B,0:15,no
107466,Tyrannus,tyrannus,,Eastern Kingbird,United States,"Flat Iron Lake Preserve, Oakfield, Kent County, Michigan",Call,B,0:02,unknown
31348,Tyrannus,tyrannus,,Eastern Kingbird,United States,"Michigan, St. Clair County ",Song,B,0:04,unknown
31347,Tyrannus,tyrannus,,Eastern Kingbird,United States,"Michigan, St. Clair County ",call,B,0:31,unknown
418331,Myiarchus,crinitus,,Great Crested Flycatcher,United States,"Au Sable SF - Big Creek Rd, Michigan",call,B,0:04,no
320336,Myiarchus,crinitus,,Great Crested Flycatcher,United States,"Indian Springs Metropark, Oakland County, Michigan",call,B,0:33,no
31279,Myiarchus,crinitus,,Great Crested Flycatcher,United States,"Michigan, St. Clair County ",Song,B,0:08,unknown
31278,Myiarchus,crinitus,,Great Crested Flycatcher,United States,"Michigan, St. Clair County ",call,B,1:16,unknown
17146,Myiarchus,crinitus,,Great Crested Flycatcher,United States,"Michigan, Vestaburg",Song?,B,0:08,unknown
17145,Myiarchus,crinitus,,Great Crested Flycatcher,United States,"Michigan, Vestaburg",Song?,B,0:19,unknown
17144,Myiarchus,crinitus,,Great Crested Flycatcher,United States,"Michigan, Vestaburg",call?,B,0:12,unknown
389085,Vireo,flavifrons,,Yellow-throated Vireo,United States,"Cranberry Lake Park, Oakland County, Michigan",song,A,0:09,no
385850,Vireo,flavifrons,,Yellow-throated Vireo,United States,"Stony Creek Metropark, Macomb County, Michigan",song,A,0:38,no
327903,Vireo,flavifrons,,Yellow-throated Vireo,United States,"Charles Ilsley Park, Oakland County, Michigan",song,A,0:17,yes
107469,Vireo,flavifrons,,Yellow-throated Vireo,United States,"Flat Iron Lake Preserve, Oakfield, Kent County, Michigan",Song,B,0:03,unknown
31131,Vireo,flavifrons,,Yellow-throated Vireo,United States,"Michigan, Chelsea SGA ",Song,B,0:50,unknown
31130,Vireo,flavifrons,,Yellow-throated Vireo,United States,"Michigan, Chelsea SGA ",Song,B,0:20,unknown
31129,Vireo,flavifrons,,Yellow-throated Vireo,United States,"Michigan, Chelsea SGA ",Song,B,0:30,unknown
17174,Vireo,flavifrons,,Yellow-throated Vireo,United States,"Michigan, Vestaburg",Song,B,0:19,unknown
17105,Vireo,solitarius,,Blue-headed Vireo,United States,"Michigan, Stinchfield Woods",Song,B,0:19,unknown
319723,Vireo,gilvus,,Warbling Vireo,United States,"Little Glen Park, Leelanau County, Michigan",song,A,0:12,yes
31132,Vireo,gilvus,,Warbling Vireo,United States,"Michigan, St. Clair County ",Song,A,0:51,unknown
107467,Vireo,gilvus,,Warbling Vireo,United States,"Flat Iron Lake Preserve, Oakfield, Kent County, Michigan",Song,B,0:24,unknown
323248,Vireo,olivaceus,,Red-eyed Vireo,United States,"Paint Creek Trail--Dutton to Silver Bell, Oakland County, Michigan",song,A,1:28,yes
142593,Vireo,olivaceus,,Red-eyed Vireo,United States,"Summit Peak Scenic Area, Porcupine Mountains SP, Ontonagon, Michigan",song,A,1:25,no
